,names,hps
0,Abomasnow,80.0
1,Abra,60.0
2,Absol,131.0
3,Accelgor,62.0
4,Aerodactyl,71.0
5,Aggron,109.0
6,Aipom,45.0
7,Alakazam,53.0
8,Alomomola,73.0
9,Altaria,60.0
10,Amaura,37.0
11,Ambipom,63.0
12,Amoonguss,59.0
13,Ampharos,84.0
14,Anorith,25.0
15,Arbok,50.0
16,Arcanine,98.0
17,Arceus,116.0
18,Archen,29.0
19,Archeops,85.0
20,Ariados,43.0
21,Armaldo,46.0
22,Aromatisse,46.0
23,Aron,57.0
24,Articuno,94.0
25,Audino,87.0
26,Aurorus,70.0
27,Avalugg,59.0
28,Axew,68.0
29,Azelf,65.0
30,Azumarill,89.0
31,Azurill,52.0
32,Bagon,68.0
33,Baltoy,66.0
34,Banette,67.0
35,Barbaracle,75.0
36,Barboach,73.0
37,Basculin,103.0
38,Bastiodon,66.0
39,Bayleef,109.0
40,Beartic,60.0
41,Beautifly,56.0
42,Beedrill,71.0
43,Beheeyem,77.0
44,Beldum,75.0
45,Bellossom,102.0
46,Bellsprout,98.0
47,Bergmite,81.0
48,Bibarel,60.0
49,Bidoof,66.0
50,Binacle,105.0
51,Bisharp,74.0
52,Blastoise,34.0
53,Blaziken,50.0
54,Blissey,53.0
55,Blitzle,98.0
56,Boldore,65.0
57,Bonsly,127.0
58,Bouffalant,85.0
59,Braixen,71.0
60,Braviary,57.0
61,Breloom,93.0
62,Bronzong,62.0
63,Bronzor,47.0
64,Budew,83.0
65,Buizel,69.0
66,Bulbasaur,99.0
67,Buneary,66.0
68,Bunnelby,1.0
69,Burmy,89.0
70,Butterfree,20.0
71,Cacnea,108.0
72,Cacturne,115.0
73,Camerupt,57.0
74,Carbink,38.0
75,Carnivine,32.0
76,Carracosta,91.0
77,Carvanha,63.0
78,Cascoon,53.0
79,Castform,62.0
80,Caterpie,122.0
81,Celebi,77.0
82,Chandelure,87.0
83,Chansey,88.0
84,Charizard,95.0
85,Charmander,96.0
86,Charmeleon,50.0
87,Chatot,63.0
88,Cherrim,49.0
89,Cherubi,50.0
90,Chesnaught,98.0
91,Chespin,55.0
92,Chikorita,66.0
93,Chimchar,50.0
94,Chimecho,53.0
